Date,Home,Away,PredictResult,H,D,A
25/3/2023,Charlton Athletic,Wycombe Wanderers,Charlton Athletic,45.95%,25.47%,28.58%
25/3/2023,Exeter City,Accrington Stanley,Exeter City,44.92%,25.96%,29.12%
25/3/2023,Fleetwood Town,Lincoln City,Fleetwood Town,43.06%,34.44%,22.50%
25/3/2023,Milton Keynes Dons,Morecambe,Milton Keynes Dons,44.74%,35.45%,19.81%
25/3/2023,Peterborough United,Derby County,Peterborough United,41.50%,29.10%,29.40%
25/3/2023,Portsmouth,Port Vale,Portsmouth,61.26%,23.35%,15.40%
26/3/2023,Forest Green Rovers,Sheffield Wednesday,Sheffield Wednesday,6.38%,15.49%,78.13%
26/4/2023,Barnsley,Ipswich Town,Ipswich Town,25.07%,22.66%,52.27%
26/4/2023,Oxford United,Cheltenham Town,Cheltenham Town,26.63%,36.23%,37.14%
3/5/2023,Shrewsbury Town,Bristol Rovers,Bristol Rovers,23.92%,36.75%,39.33%
4/5/2023,Burton Albion,Cambridge United,Cambridge United,13.05%,20.90%,66.05%
